연 번,관리기관,설치연도,설치구간,연장(m)
614,강남구,2023,논현로 105길(봉은사로 134 ~ 봉은사로 16길 16),80
615,강남구,2023,논현로 97길(논현로 97길 14 ~ 논현로 529),100
616,강남구,2023,테헤란로 19길(논현로 99길 29 ~ 논현로 97길 29),60
617,강남구,2023,강남대로 42길(남부순환로 351길 8 ~ 강남대로 42길 11),30
618,강남구,2023,영동대로 65길(도곡로 93길 23(르엘아파트 101동 앞)),65
619,강남구,2023,선릉로 ~ 도곡로(도곡로 404(한티역 4번 출구 주변)),30
620,강남구,2024,학동로 18길(학동로 18길 67 ~ 학동로 18길 69),50
621,강남구,2024,선릉로 133길(학동로 47길 20 ~ 선릉로 133길 16),100
622,강남구,2024,도산대로 72길(도산대로 70길 23 ~ 도산대로 72길 36),40
623,강남구,2024,선릉로 108길(선릉로 108길 65 ~ 봉은사로 68길 8),70
624,강남구,2024,헌릉로 622길(헌릉로 622길 10 ~ 헌릉로 618길 7),30
625,강남구,2024,도산대로 23길(도산대로 163 ~ 도산대로 23길 8),70
626,강남구,2024,자곡로(자곡로 100 ~ 자곡로 101),90
627,강남구,2024,봉은사로 7길(논현동 196 옆 계단),40
628,강남구,2024,봉은사로 21길(논현동 206 ~ 193-18),140
629,송파구,2022,거마로 11~거마로 27,160
630,송파구,2022,동남로20길 27~동남로20길 50,210
631,송파구,2023,거여동 696-5,70
632,송파구,2023,거마로 31~거마로 47,157
633,송파구,2023,동남로207~중대로20길 47,180
634,송파구,2024,거마로 11~거마로 45-3,309
635,송파구,2024,가락동 513-1,300
636,송파구,2024,잠실동 141~잠실동 142,200
637,송파구,2024,동남로13길 21~동남로9길 33,185
638,강동구,2022,천호동 121-32 ~ 천호동143-8,130
639,강동구,2022,상일동 166~상일동 산 42,150
640,강동구,2022,상일동 산 42-1~상일동 267,170
641,강동구,2022,천중로 111~ 천호동 217-19,230
642,강동구,2023,"명일역 주변(양재대로 145길, 양재대로 143길, 양재대로 141길)",345
643,강동구,2023,둔촌동 46-7~둔촌동622 ,200
644,강동구,2023,천호동 195-21~천호동 196-1 ,60
645,강동구,2023,천호동 121-83~천호동 121-82 ,20
646,강동구,2023,성내동 218-17~성내동 212-2 ,120
647,강동구,2023,암사동 458-1~암사동 458-12(신암중 맞은편),85
648,강동구,2023,길동 38-9(신명초교 정문 앞),90
649,강동구,2023,암사동 457-1~암사동 473(강동구립암사도서관 주변),250
650,강동구,2023,길동 99-3~길동 157-10 ,100
651,강동구,2024,구천면로 68가길(성덕여중 앞),124
652,강동구,2024,길동 42 앞,120
653,강동구,2024,고덕동 294-1　~　고덕동294-5,128
